#------------------------------------------------- WARNING --------------------------------------------
#
# The data you have obtained from this automated Natural Resources Conservation Service
# database are subject to revision regardless of indicated Quality Assurance level.
# Data are released on condition that neither the NRCS nor the United States Government
# may be held liable for any damages resulting from its use.
#
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
#
# Support Contact: usdafpacbc@midatl.service-now.com
#
#------------------------------------------------------------------------------------------------------
#
# Reporting Frequency: Daily
# Date Range: 2009-10-01 to 2019-05-08
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 978: Bogus Basin, ID
#
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description
# Snow Depth             Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           SNWD          Total snow depth
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously
#
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
#
#------------------------------------------------------------------------------------------------------
#
# Bogus Basin (978)
# Idaho  SNOTEL Site - 6340 ft
# Reporting Frequency: Daily; Date Range: 2009-10-01 to 2019-05-08
#
# As of: May 8, 2019 6:27:25 AM GMT-08:00
#
Date,Snow Depth (cm) Start of Day Values,Snow Water Equivalent (mm) Start of Day Values
2012-10-03,0,0
2012-10-04,0,0
2012-10-05,0,0
2012-10-06,0,0
2012-10-07,0,0
2012-10-08,0,0
2012-10-09,0,0
2012-10-10,0,0
2012-10-11,0,0
2012-10-12,0,0
2012-10-13,0,0
2012-10-14,0,0
2012-10-15,0,0
2012-10-16,0,0
2012-10-17,0,0
2012-10-18,0,0
2012-10-19,0,0
2012-10-20,0,0
2012-10-21,0,0
2012-10-22,0,0
2012-10-23,10,13
2012-10-24,15,23
2012-10-25,18,25
2012-10-26,15,23
2012-10-27,13,28
2012-10-28,10,38
2012-10-29,5,25
2012-10-30,3,13
2012-10-31,0,0
2012-11-01,0,0
2012-11-02,0,0
2012-11-03,0,0
2012-11-04,0,0
2012-11-05,0,0
2012-11-06,0,0
2012-11-07,0,0
2012-11-08,0,0
2012-11-09,0,0
2012-11-10,0,0
2012-11-11,0,0
2012-11-12,0,0
2012-11-13,5,8
2012-11-14,3,13
2012-11-15,3,13
2012-11-16,5,18
2012-11-17,5,18
2012-11-18,5,23
2012-11-19,5,28
2012-11-20,8,33
2012-11-21,8,30
2012-11-22,8,30
2012-11-23,8,30
2012-11-24,8,33
2012-11-25,8,33
2012-11-26,8,33
2012-11-27,8,33
2012-11-28,8,36
2012-11-29,8,38
2012-11-30,8,38
2012-12-01,10,46
2012-12-02,8,38
2012-12-03,8,30
2012-12-04,8,30
2012-12-05,8,38
2012-12-06,8,30
2012-12-07,8,30
2012-12-08,8,30
2012-12-09,18,38
2012-12-10,15,41
2012-12-11,15,46
2012-12-12,18,51
2012-12-13,25,61
2012-12-14,23,61
2012-12-15,23,61
2012-12-16,28,64
2012-12-17,36,81
2012-12-18,53,107
2012-12-19,51,107
2012-12-20,48,107
2012-12-21,46,112
2012-12-22,46,112
2012-12-23,46,112
2012-12-24,71,140
2012-12-25,71,142
2012-12-26,69,150
2012-12-27,66,152
2012-12-28,64,152
2012-12-29,64,152
2012-12-30,66,152
2012-12-31,61,152
2013-01-01,58,152
2013-01-02,64,152
2013-01-03,61,155
2013-01-04,61,155
2013-01-05,61,155
2013-01-06,58,155
2013-01-07,58,155
2013-01-08,69,168
2013-01-09,69,173
2013-01-10,69,175
2013-01-11,99,193
2013-01-12,99,196
2013-01-13,94,196
2013-01-14,84,196
2013-01-15,86,196
2013-01-16,84,201
2013-01-17,84,201
2013-01-18,81,201
2013-01-19,81,201
2013-01-20,79,201
2013-01-21,79,203
2013-01-22,79,203
2013-01-23,76,203
2013-01-24,76,203
2013-01-25,84,216
2013-01-26,81,224
2013-01-27,84,226
2013-01-28,81,226
2013-01-29,104,246
2013-01-30,109,264
2013-01-31,114,282
2013-02-01,109,282
2013-02-02,109,282
2013-02-03,107,282
2013-02-04,107,282
2013-02-05,104,282
2013-02-06,104,282
2013-02-07,102,282
2013-02-08,102,282
2013-02-09,102,282
2013-02-10,102,282
2013-02-11,102,282
2013-02-12,102,282
2013-02-13,99,284
2013-02-14,99,284
2013-02-15,99,284
2013-02-16,97,284
2013-02-17,104,290
2013-02-18,102,290
2013-02-19,99,290
2013-02-20,102,292
2013-02-21,102,292
2013-02-22,102,292
2013-02-23,112,307
2013-02-24,122,320
2013-02-25,119,320
2013-02-26,127,325
2013-02-27,124,325
2013-02-28,122,330
2013-03-01,124,343
2013-03-02,117,343
2013-03-03,114,343
2013-03-04,117,343
2013-03-05,117,343
2013-03-06,114,345
2013-03-07,117,348
2013-03-08,117,348
2013-03-09,117,348
2013-03-10,114,348
2013-03-11,114,348
2013-03-12,112,348
2013-03-13,109,345
2013-03-14,107,340
2013-03-15,104,335
2013-03-16,102,335
2013-03-17,107,335
2013-03-18,104,335
2013-03-19,107,335
2013-03-20,104,338
2013-03-21,107,356
2013-03-22,109,356
2013-03-23,114,356
2013-03-24,114,356
2013-03-25,112,358
2013-03-26,109,361
2013-03-27,109,366
2013-03-28,107,363
2013-03-29,104,358
2013-03-30,99,353
2013-03-31,97,345
2013-04-01,91,333
2013-04-02,89,323
2013-04-03,84,307
2013-04-04,76,292
2013-04-05,74,282
2013-04-06,71,274
2013-04-07,69,282
2013-04-08,79,297
2013-04-09,76,297
2013-04-10,74,297
2013-04-11,71,295
2013-04-12,69,290
2013-04-13,64,279
2013-04-14,66,274
2013-04-15,64,274
2013-04-16,66,274
2013-04-17,64,272
2013-04-18,64,269
2013-04-19,61,262
2013-04-20,61,259
2013-04-21,64,264
2013-04-22,61,264
2013-04-23,58,264
2013-04-24,56,257
2013-04-25,53,239
2013-04-26,46,211
2013-04-27,41,180
2013-04-28,36,157
2013-04-29,30,135
2013-04-30,28,124
2013-05-01,25,122
2013-05-02,23,99
2013-05-03,15,66
2013-05-04,10,46
2013-05-05,8,28
2013-05-06,3,10
2013-05-07,0,0
2013-05-08,0,0
2013-05-09,0,0
2013-05-10,0,0
2013-05-11,0,0
2013-05-12,0,0
2013-05-13,0,0
2013-05-14,0,0
2013-05-15,0,0
2013-05-16,0,0
2013-05-17,0,0
2013-05-18,0,0
2013-05-19,0,0
2013-05-20,0,0
2013-05-21,0,0
2013-05-22,0,0
2013-05-23,0,0
2013-05-24,0,0
2013-05-25,0,0
2013-05-26,0,0
2013-05-27,0,0
2013-05-28,0,0
2013-05-29,0,0
2013-05-30,0,0
2013-05-31,0,0
2013-06-01,0,0
2013-06-02,0,0
2013-06-03,0,0
2013-06-04,0,0
2013-06-05,0,0
2013-06-06,0,0
2013-06-07,0,0
2013-06-08,0,0
2013-06-09,0,0
2013-06-10,0,0
2013-06-11,0,0
2013-06-12,0,0
2013-06-13,0,0
2013-06-14,0,0
2013-06-15,0,0
2013-06-16,0,0
2013-06-17,0,0
2013-06-18,0,0
2013-06-19,0,0
2013-06-20,0,0
2013-06-21,0,0
2013-06-22,0,0
2013-06-23,0,0
2013-06-24,0,0
2013-06-25,0,0
2013-06-26,0,0
2013-06-27,0,0
2013-06-28,0,0
2013-06-29,0,0
2013-06-30,0,0
2013-07-01,0,0
2013-07-02,0,0
2013-07-03,0,0
2013-07-04,0,0
2013-07-05,0,0
2013-07-06,0,0
2013-07-07,0,0
2013-07-08,0,0
2013-07-09,0,0
2013-07-10,0,0
2013-07-11,0,0
2013-07-12,0,0
2013-07-13,0,0
2013-07-14,0,0
2013-07-15,0,0
2013-07-16,0,0
2013-07-17,0,0
2013-07-18,0,0
2013-07-19,0,0
2013-07-20,0,0
2013-07-21,0,0
2013-07-22,0,0
2013-07-23,0,0
2013-07-24,0,0
2013-07-25,0,0
2013-07-26,0,0
2013-07-27,0,0
2013-07-28,0,0
2013-07-29,0,0
2013-07-30,0,0
2013-07-31,0,0
2013-08-01,0,0
2013-08-02,0,0
2013-08-03,0,0
2013-08-04,0,0
2013-08-05,0,0
2013-08-06,0,0
2013-08-07,0,0
2013-08-08,0,0
2013-08-09,0,0
2013-08-10,0,0
2013-08-11,0,0
2013-08-12,0,0
2013-08-13,0,0
2013-08-14,0,0
2013-08-15,0,0
2013-08-16,0,0
2013-08-17,0,0
2013-08-18,0,0
2013-08-19,0,0
2013-08-20,0,0
2013-08-21,0,0
2013-08-22,0,0
2013-08-23,0,0
2013-08-24,0,0
2013-08-25,0,0
2013-08-26,0,0
2013-08-27,0,0
2013-08-28,0,0
2013-08-29,0,0
2013-08-30,0,0
2013-08-31,0,0
2013-09-01,0,0
2013-09-02,0,0
2013-09-03,0,0
2013-09-04,0,0
2013-09-05,0,0
2013-09-06,0,0
2013-09-07,0,0
2013-09-08,0,0
2013-09-09,0,0
2013-09-10,0,0
2013-09-11,0,0
2013-09-12,0,0
2013-09-13,0,0
2013-09-14,0,0
2013-09-15,0,0
2013-09-16,0,0
2013-09-17,0,0
2013-09-18,0,0
2013-09-19,0,0
2013-09-20,0,0
2013-09-21,0,0
2013-09-22,0,0
2013-09-23,0,0
2013-09-24,0,0
2013-09-25,0,0
2013-09-26,3,8
2013-09-27,5,10
2013-09-28,0,0
2013-09-29,0,0
2013-09-30,0,0
2013-10-01,0,0
2013-10-02,0,0
2013-10-03,0,0
2013-10-04,0,0
2013-10-05,0,0
2013-10-06,0,0
2013-10-07,0,0
2013-10-08,0,0
2013-10-09,0,0
2013-10-10,0,0
2013-10-11,0,0
2013-10-12,0,0
2013-10-13,0,0
2013-10-14,0,0
2013-10-15,0,0
2013-10-16,0,0
2013-10-17,0,0
2013-10-18,0,0
2013-10-19,0,0
2013-10-20,0,0
2013-10-21,0,0
2013-10-22,0,0
2013-10-23,0,0
2013-10-24,0,0
2013-10-25,0,0
2013-10-26,0,0
2013-10-27,0,0
2013-10-28,0,0
2013-10-29,3,15
2013-10-30,3,10
2013-10-31,3,8
2013-11-01,3,13
2013-11-02,3,10
2013-11-03,3,13
2013-11-04,3,15
2013-11-05,8,15
2013-11-06,10,25
2013-11-07,5,28
2013-11-08,5,23
2013-11-09,5,23
2013-11-10,5,23
2013-11-11,5,23
2013-11-12,5,23
2013-11-13,5,23
2013-11-14,5,23
2013-11-15,5,23
2013-11-16,5,23
2013-11-17,18,33
2013-11-18,15,36
2013-11-19,15,41
2013-11-20,23,76
2013-11-21,28,86
2013-11-22,30,86
2013-11-23,28,89
2013-11-24,28,89
2013-11-25,28,89
2013-11-26,28,89
2013-11-27,28,89
2013-11-28,28,89
2013-11-29,28,89
2013-11-30,28,89
2013-12-01,28,89
2013-12-02,30,97
2013-12-03,33,97
2013-12-04,33,97
2013-12-05,33,97
2013-12-06,36,97
2013-12-07,38,104
2013-12-08,46,107
2013-12-09,46,107
2013-12-10,43,107
2013-12-11,38,107
2013-12-12,38,109
2013-12-13,41,109
2013-12-14,41,112
2013-12-15,41,112
2013-12-16,41,112
2013-12-17,38,112
2013-12-18,38,112
2013-12-19,41,112
2013-12-20,41,112
2013-12-21,51,122
2013-12-22,51,127
2013-12-23,51,135
2013-12-24,51,140
2013-12-25,53,140
2013-12-26,51,140
2013-12-27,51,137
2013-12-28,51,140
2013-12-29,51,140
2013-12-30,51,140
2013-12-31,51,140
2014-01-01,51,140
2014-01-02,51,140
2014-01-03,51,137
2014-01-04,51,137
2014-01-05,51,135
2014-01-06,51,135
2014-01-07,48,137
2014-01-08,56,147
2014-01-09,66,157
2014-01-10,71,163
2014-01-11,76,173
2014-01-12,74,173
2014-01-13,102,211
2014-01-14,99,216
2014-01-15,97,216
2014-01-16,94,218
2014-01-17,91,218
2014-01-18,89,218
2014-01-19,89,218
2014-01-20,86,218
2014-01-21,84,218
2014-01-22,84,218
2014-01-23,84,218
2014-01-24,84,218
2014-01-25,81,218
2014-01-26,81,218
2014-01-27,81,218
2014-01-28,79,218
2014-01-29,79,221
2014-01-30,89,234
2014-01-31,91,236
2014-02-01,89,241
2014-02-02,86,241
2014-02-03,91,246
2014-02-04,99,249
2014-02-05,102,249
2014-02-06,102,254
2014-02-07,107,267
2014-02-08,117,284
2014-02-09,135,328
2014-02-10,130,328
2014-02-11,124,328
2014-02-12,127,333
2014-02-13,135,356
2014-02-14,130,356
2014-02-15,132,368
2014-02-16,130,378
2014-02-17,132,378
2014-02-18,135,381
2014-02-19,132,389
2014-02-20,137,389
2014-02-21,140,396
2014-02-22,137,396
2014-02-23,137,396
2014-02-24,135,401
2014-02-25,135,401
2014-02-26,130,404
2014-02-27,130,404
2014-02-28,132,409
2014-03-01,130,411
2014-03-02,137,422
2014-03-03,142,437
2014-03-04,145,462
2014-03-05,142,462
2014-03-06,140,462
2014-03-07,135,462
2014-03-08,135,462
2014-03-09,132,465
2014-03-10,130,472
2014-03-11,152,498
2014-03-12,150,503
2014-03-13,147,503
2014-03-14,145,503
2014-03-15,145,505
2014-03-16,142,505
2014-03-17,140,508
2014-03-18,155,521
2014-03-19,155,526
2014-03-20,150,528
2014-03-21,150,528
2014-03-22,150,528
2014-03-23,150,528
2014-03-24,147,528
2014-03-25,145,528
2014-03-26,145,531
2014-03-27,155,544
2014-03-28,165,561
2014-03-29,168,572
2014-03-30,178,610
2014-03-31,178,610
2014-04-01,175,617
2014-04-02,193,635
2014-04-03,188,640
2014-04-04,185,640
2014-04-05,185,643
2014-04-06,183,643
2014-04-07,183,645
2014-04-08,178,640
2014-04-09,173,635
2014-04-10,168,625
2014-04-11,165,620
2014-04-12,160,615
2014-04-13,160,602
2014-04-14,157,599
2014-04-15,155,592
2014-04-16,152,584
2014-04-17,152,577
2014-04-18,145,556
2014-04-19,142,538
2014-04-20,137,523
2014-04-21,135,518
2014-04-22,130,505
2014-04-23,135,505
2014-04-24,135,511
2014-04-25,135,521
2014-04-26,140,533
2014-04-27,140,536
2014-04-28,142,538
2014-04-29,140,544
2014-04-30,137,544
2014-05-01,132,531
2014-05-02,127,511
2014-05-03,119,485
2014-05-04,114,457
2014-05-05,109,437
2014-05-06,107,429
2014-05-07,102,414
2014-05-08,97,396
2014-05-09,91,376
2014-05-10,86,353
2014-05-11,89,353
2014-05-12,84,340
2014-05-13,79,328
2014-05-14,74,305
2014-05-15,66,277
2014-05-16,58,236
2014-05-17,51,196
2014-05-18,46,160
2014-05-19,41,135
2014-05-20,33,107
2014-05-21,25,76
2014-05-22,13,43
2014-05-23,5,23
2014-05-24,0,0
2014-05-25,0,0
2014-05-26,0,0
2014-05-27,0,0
2014-05-28,0,0
2014-05-29,0,0
2014-05-30,0,0
2014-05-31,0,0
2014-06-01,0,0
2014-06-02,0,0
2014-06-03,0,0
2014-06-04,0,0
2014-06-05,0,0
2014-06-06,0,0
2014-06-07,0,0
2014-06-08,0,0
2014-06-09,0,0
2014-06-10,0,0
2014-06-11,0,0
2014-06-12,0,0
2014-06-13,0,0
2014-06-14,0,0
2014-06-15,0,0
2014-06-16,0,0
2014-06-17,0,0
2014-06-18,0,0
2014-06-19,0,0
2014-06-20,0,0
2014-06-21,0,0
2014-06-22,0,0
2014-06-23,0,0
2014-06-24,0,0
2014-06-25,0,0
2014-06-26,0,0
2014-06-27,0,0
2014-06-28,0,0
2014-06-29,0,0
2014-06-30,0,0
2014-07-01,0,0
2014-07-02,0,0
2014-07-03,0,0
2014-07-04,0,0
2014-07-05,0,0
2014-07-06,0,0
2014-07-07,0,0
2014-07-08,0,0
2014-07-09,0,0
2014-07-10,0,0
2014-07-11,0,0
2014-07-12,0,0
2014-07-13,0,0
2014-07-14,0,0
2014-07-15,0,0
2014-07-16,0,0
2014-07-17,0,0
2014-07-18,0,0
2014-07-19,0,0
2014-07-20,0,0
2014-07-21,0,0
2014-07-22,0,0
2014-07-23,0,0
2014-07-24,0,0
2014-07-25,0,0
2014-07-26,0,0
2014-07-27,0,0
2014-07-28,0,0
2014-07-29,0,0
2014-07-30,0,0
2014-07-31,0,0
2014-08-01,0,0
2014-08-02,0,0
2014-08-03,0,0
2014-08-04,0,0
2014-08-05,0,0
2014-08-06,0,0
2014-08-07,0,0
2014-08-08,0,0
2014-08-09,0,0
2014-08-10,0,0
2014-08-11,0,0
2014-08-12,0,0
2014-08-13,0,0
2014-08-14,0,0
2014-08-15,0,0
2014-08-16,0,0
2014-08-17,0,0
2014-08-18,0,0
2014-08-19,0,0
2014-08-20,0,0
2014-08-21,0,0
2014-08-22,0,0
2014-08-23,0,0
2014-08-24,0,0
2014-08-25,0,0
2014-08-26,0,0
2014-08-27,0,0
2014-08-28,0,0
2014-08-29,0,0
2014-08-30,0,0
2014-08-31,0,0
2014-09-01,0,0
2014-09-02,0,0
2014-09-03,0,0
2014-09-04,0,0
2014-09-05,0,0
2014-09-06,0,0
2014-09-07,0,0
2014-09-08,0,0
2014-09-09,0,0
2014-09-10,0,0
2014-09-11,0,0
2014-09-12,0,0
2014-09-13,0,0
2014-09-14,0,0
2014-09-15,0,0
2014-09-16,0,0
2014-09-17,0,0
2014-09-18,0,0
2014-09-19,0,0
2014-09-20,0,0
2014-09-21,0,0
2014-09-22,0,0
2014-09-23,0,0
2014-09-24,0,0
2014-09-25,0,0
2014-09-26,0,0
2014-09-27,0,0
2014-09-28,0,0
2014-09-29,0,0
2014-09-30,0,0
2014-10-01,0,0
2014-10-02,0,0
2014-10-03,0,0
2014-10-04,0,0
2014-10-05,0,0
2014-10-06,0,0
2014-10-07,0,0
2014-10-08,0,0
2014-10-09,0,0
2014-10-10,0,0
2014-10-11,0,0
2014-10-12,0,0
2014-10-13,0,0
2014-10-14,0,0
2014-10-15,0,0
2014-10-16,0,0
2014-10-17,0,0
2014-10-18,0,0
2014-10-19,0,0
2014-10-20,0,0
2014-10-21,0,0
2014-10-22,0,0
2014-10-23,0,0
2014-10-24,0,0
2014-10-25,0,0
2014-10-26,0,0
2014-10-27,0,0
2014-10-28,0,0
2014-10-29,3,8
2014-10-30,3,5
2014-10-31,5,10
2014-11-01,3,8
2014-11-02,18,30
2014-11-03,18,30
2014-11-04,18,36
2014-11-05,13,36
2014-11-06,8,28
2014-11-07,5,25
2014-11-08,5,15
2014-11-09,5,18
2014-11-10,5,15
2014-11-11,5,10
2014-11-12,5,8
2014-11-13,5,10
2014-11-14,20,38
2014-11-15,30,51
2014-11-16,28,46
2014-11-17,28,48
2014-11-18,28,51
2014-11-19,25,56
2014-11-20,23,61
2014-11-21,25,66
2014-11-22,30,76
2014-11-23,33,79
2014-11-24,33,81
2014-11-25,33,84
2014-11-26,28,84
2014-11-27,25,81
2014-11-28,25,81
2014-11-29,23,81
2014-11-30,23,71
2014-12-01,23,64
2014-12-02,38,94
2014-12-03,36,99
2014-12-04,36,109
2014-12-05,33,107
2014-12-06,30,107
2014-12-07,30,107
2014-12-08,30,109
2014-12-09,33,112
2014-12-10,30,109
2014-12-11,30,109
2014-12-12,28,107
2014-12-13,38,114
2014-12-14,38,114
2014-12-15,36,114
2014-12-16,38,109
2014-12-17,41,112
2014-12-18,38,114
2014-12-19,38,117
2014-12-20,46,122
2014-12-21,69,155
2014-12-22,71,178
2014-12-23,69,180
2014-12-24,66,185
2014-12-25,94,213
2014-12-26,94,213
2014-12-27,86,213
2014-12-28,99,224
2014-12-29,104,231
2014-12-30,104,234
2014-12-31,99,234
2015-01-01,94,236
2015-01-02,89,236
2015-01-03,91,241
2015-01-04,86,241
2015-01-05,91,249
2015-01-06,99,257
2015-01-07,104,262
2015-01-08,109,264
2015-01-09,109,264
2015-01-10,109,264
2015-01-11,109,264
2015-01-12,89,269
2015-01-13,89,274
2015-01-14,89,274
2015-01-15,89,274
2015-01-16,91,277
2015-01-17,104,290
2015-01-18,107,297
2015-01-19,102,297
2015-01-20,102,297
2015-01-21,102,297
2015-01-22,102,297
2015-01-23,91,297
2015-01-24,94,297
2015-01-25,99,297
2015-01-26,99,297
2015-01-27,97,300
2015-01-28,94,297
2015-01-29,97,295
2015-01-30,94,297
2015-01-31,94,300
2015-02-01,97,300
2015-02-02,99,305
2015-02-03,97,305
2015-02-04,99,315
2015-02-05,102,325
2015-02-06,99,325
2015-02-07,97,328
2015-02-08,91,325
2015-02-09,89,328
2015-02-10,89,330
2015-02-11,94,328
2015-02-12,94,328
2015-02-13,94,330
2015-02-14,89,333
2015-02-15,89,335
2015-02-16,89,335
2015-02-17,89,335
2015-02-18,89,333
2015-02-19,89,330
2015-02-20,89,328
2015-02-21,89,328
2015-02-22,89,325
2015-02-23,89,320
2015-02-24,89,320
2015-02-25,89,318
2015-02-26,86,315
2015-02-27,89,312
2015-02-28,86,312
2015-03-01,89,310
2015-03-02,91,310
2015-03-03,89,310
2015-03-04,91,307
2015-03-05,91,307
2015-03-06,89,307
2015-03-07,86,307
2015-03-08,86,307
2015-03-09,84,307
2015-03-10,84,307
2015-03-11,81,300
2015-03-12,79,300
2015-03-13,76,300
2015-03-14,71,300
2015-03-15,69,295
2015-03-16,64,277
2015-03-17,61,267
2015-03-18,58,254
2015-03-19,56,251
2015-03-20,51,241
2015-03-21,48,234
2015-03-22,51,229
2015-03-23,46,216
2015-03-24,51,216
2015-03-25,86,246
2015-03-26,81,251
2015-03-27,74,246
2015-03-28,58,244
2015-03-29,51,229
2015-03-30,48,226
2015-03-31,46,213
2015-04-01,43,208
2015-04-02,43,203
2015-04-03,41,196
2015-04-04,36,188
2015-04-05,36,180
2015-04-06,30,188
2015-04-07,41,198
2015-04-08,36,185
2015-04-09,41,193
2015-04-10,33,193
2015-04-11,30,173
2015-04-12,36,178
2015-04-13,28,188
2015-04-14,25,175
2015-04-15,23,170
2015-04-16,25,180
2015-04-17,23,170
2015-04-18,8,142
2015-04-19,13,122
2015-04-20,8,97
2015-04-21,8,71
2015-04-22,8,51
2015-04-23,5,30
2015-04-24,3,13
2015-04-25,3,8
2015-04-26,0,0
2015-04-27,0,0
2015-04-28,0,0
2015-04-29,0,0
2015-04-30,0,0
2015-05-01,0,0
2015-05-02,0,0
2015-05-03,0,0
2015-05-04,0,0
2015-05-05,0,0
2015-05-06,0,0
2015-05-07,0,0
2015-05-08,0,0
2015-05-09,0,0
2015-05-10,0,0
2015-05-11,0,0
2015-05-12,0,0
2015-05-13,0,0
2015-05-14,0,0
2015-05-15,0,0
2015-05-16,0,0
2015-05-17,0,0
2015-05-18,0,0
2015-05-19,0,0
2015-05-20,0,0
2015-05-21,0,0
2015-05-22,0,0
2015-05-23,0,0
2015-05-24,0,0
2015-05-25,0,0
2015-05-26,0,0
2015-05-27,0,0
2015-05-28,0,0
2015-05-29,0,0
2015-05-30,0,0
2015-05-31,0,0
2015-06-01,0,0
2015-06-02,0,0
2015-06-03,0,0
2015-06-04,0,0
2015-06-05,0,0
2015-06-06,0,0
2015-06-07,0,0
2015-06-08,0,0
2015-06-09,0,0
2015-06-10,0,0
2015-06-11,0,0
2015-06-12,0,0
2015-06-13,0,0
2015-06-14,0,0
2015-06-15,0,0
2015-06-16,0,0
2015-06-17,0,0
2015-06-18,0,0
2015-06-19,0,0
2015-06-20,0,0
2015-06-21,0,0
2015-06-22,0,0
2015-06-23,0,0
2015-06-24,0,0
2015-06-25,0,0
2015-06-26,0,0
2015-06-27,0,0
2015-06-28,0,0
2015-06-29,0,0
2015-06-30,0,0
2015-07-01,0,0
2015-07-02,0,0
2015-07-03,0,0
2015-07-04,0,0
2015-07-05,0,0
2015-07-06,0,0
2015-07-07,0,0
2015-07-08,0,0
2015-07-09,0,0
2015-07-10,0,0
2015-07-11,0,0
2015-07-12,0,0
2015-07-13,0,0
2015-07-14,0,0
2015-07-15,0,0
2015-07-16,0,0
2015-07-17,0,0
2015-07-18,0,0
2015-07-19,0,0
2015-07-20,0,0
2015-07-21,0,0
2015-07-22,0,0
2015-07-23,0,0
2015-07-24,0,0
2015-07-25,0,0
2015-07-26,0,0
2015-07-27,0,0
2015-07-28,0,0
2015-07-29,0,0
2015-07-30,0,0
2015-07-31,0,0
2015-08-01,0,0
2015-08-02,0,0
2015-08-03,0,0
2015-08-04,0,0
2015-08-05,0,0
2015-08-06,0,0
2015-08-07,0,0
2015-08-08,0,0
2015-08-09,0,0
2015-08-10,0,0
2015-08-11,0,0
2015-08-12,0,0
2015-08-13,0,0
2015-08-14,0,0
2015-08-15,0,0
2015-08-16,0,0
2015-08-17,0,0
2015-08-18,0,0
2015-08-19,0,0
2015-08-20,0,0
2015-08-21,0,0
2015-08-22,0,0
2015-08-23,0,0
2015-08-24,0,0
2015-08-25,0,0
2015-08-26,0,0
2015-08-27,0,0
2015-08-28,0,0
2015-08-29,0,0
2015-08-30,0,0
2015-08-31,0,0
2015-09-01,0,0
2015-09-02,0,0
2015-09-03,0,0
2015-09-04,0,0
2015-09-05,0,0
2015-09-06,0,0
2015-09-07,0,0
2015-09-08,0,0
2015-09-09,0,0
2015-09-10,0,0
2015-09-11,0,0
2015-09-12,0,0
2015-09-13,0,0
2015-09-14,0,0
2015-09-15,0,0
2015-09-16,0,0
2015-09-17,0,0
2015-09-18,0,0
2015-09-19,0,0
2015-09-20,0,0
2015-09-21,0,0
2015-09-22,0,0
2015-09-23,0,0
2015-09-24,0,0
2015-09-25,0,0
2015-09-26,0,0
2015-09-27,0,0
2015-09-28,0,0
2015-09-29,0,0
2015-09-30,0,0
2015-10-01,0,0
2015-10-02,0,0
2015-10-03,0,0
2015-10-04,0,0
2015-10-05,0,0
2015-10-06,0,0
2015-10-07,0,0
2015-10-08,0,0
2015-10-09,0,0
2015-10-10,0,0
2015-10-11,0,0
2015-10-12,0,0
2015-10-13,0,0
2015-10-14,0,0
2015-10-15,0,0
2015-10-16,0,0
2015-10-17,0,0
2015-10-18,0,0
2015-10-19,0,0
2015-10-20,0,0
2015-10-21,0,0
2015-10-22,0,0
2015-10-23,0,0
2015-10-24,0,0
2015-10-25,0,0
2015-10-26,0,0
2015-10-27,0,0
2015-10-28,0,0
2015-10-29,0,0
2015-10-30,0,0
2015-10-31,0,0
2015-11-01,0,0
2015-11-02,0,0
2015-11-03,0,0
2015-11-04,0,0
2015-11-05,0,0
2015-11-06,0,0
2015-11-07,0,0
2015-11-08,0,0
2015-11-09,3,5
2015-11-10,28,51
2015-11-11,28,48
2015-11-12,25,53
2015-11-13,23,48
2015-11-14,20,53
2015-11-15,20,56
2015-11-16,25,58
2015-11-17,36,66
2015-11-18,38,74
2015-11-19,38,74
2015-11-20,38,89
2015-11-21,36,89
2015-11-22,38,89
2015-11-23,36,89
2015-11-24,36,89
2015-11-25,43,99
2015-11-26,51,109
2015-11-27,48,109
2015-11-28,48,109
2015-11-29,46,109
2015-11-30,46,109
2015-12-01,46,109
2015-12-02,43,109
2015-12-03,43,109
2015-12-04,41,109
2015-12-05,56,130
2015-12-06,53,130
2015-12-07,53,132
2015-12-08,46,135
2015-12-09,43,127
2015-12-10,36,130
2015-12-11,51,145
2015-12-12,51,150
2015-12-13,66,165
2015-12-14,102,229
2015-12-15,99,231
2015-12-16,97,229
2015-12-17,104,239
2015-12-18,104,257
2015-12-19,119,282
2015-12-20,122,292
2015-12-21,124,295
2015-12-22,163,356
2015-12-23,152,358
2015-12-24,168,371
2015-12-25,170,378
2015-12-26,163,378
2015-12-27,157,378
2015-12-28,152,378
2015-12-29,150,378
2015-12-30,147,378
2015-12-31,145,378
